|"|||""equipo_local|equipo_visitante|Division|Temporada|fecha_dt|goles_local|goles_visitante|arbitro|estadio|odd_1|odd_x|odd_2|Informe_Tarjetas"""
10|"Deportivo La Coruna|Oviedo|2|2019|2019-08-18 18:00:00|3|2|Daniel Ocón|Estadio Abanca-Riazor|1.75|3.3|5.25|Hubo 00 tarjetas rojas sobre el equipo local|Hubo 03  tarjetas amarillas de jugadores visitantes|Hubo 00 amarillas mostradas al equipo local|Hubo 0 rojas a jugadores visitantes"
11|"Girona|Sporting Gijon|2|2019|2019-08-18 18:30:00|1|1|Daniel Trujillo|Estadi Municipal de Montilivi|2.2|3.1|3.5|Hubo 1 tarjetas amarillas para el equipo visitantes|Hubo 1 tajetas rojas al equipo visitante|Hubo 00 tarjetas rojas sobre el equipo local|Hubo 2 amarillas para jugadores del equipo local"
12|"Espanyol|Sevilla|1|2019|2019-08-18 19:00:00|0|2|Juan Martínez|RCDE Stadium|3.2|3.3|2.3|Hubo 02  tarjetas amarillas de jugadores visitantes|Hubo 00 tarjetas rojas sobre el equipo local|Hubo 0 tajetas rojas al equipo visitante|Hubo 02 amarillas para jugadores del equipo local"
13|"Las Palmas|Huesca|2|2019|2019-08-18 20:00:00|0|1|Jorge Figueroa|Estadio de Gran Canaria|2.25|3.25|3.2|Hubo 00 rojas a jugadores del equipo local|Hubo 3 tarjetas amarillas para el equipo visitantes|Hubo 0 rojas a jugadores visitantes|Hubo 03 amarillas mostradas al equipo local"
14|"Atletico Madrid|Getafe|1|2019|2019-08-18 22:00:00|1|0|Guillermo Cuadra|Estadio Wanda Metropolitano|1.44|4.33|8.0|Hubo 04  tarjetas amarillas de jugadores visitantes|Hubo 3 amarillas mostradas al equipo local|Hubo 1 rojas a jugadores del equipo local|Hubo 1 tajetas rojas al equipo visitante"
15|"Osasuna|Eibar|1|2019|2019-08-24 17:00:00|0|0|David Medié|Estadio El Sadar|2.5|3.2|2.9|Hubo 04  tarjetas amarillas de jugadores visitantes|Hubo 0 rojas a jugadores del equipo local|Hubo 04 amarillas para jugadores del equipo local|Hubo 00 tajetas rojas al equipo visitante"
16|"Oviedo|Lugo|2|2019|2019-08-24 18:00:00|1|1|José López|Estadio Nuevo Carlos Tartiere|1.8|3.5|4.0|Hubo 01 tarjetas rojas sobre el equipo local|Hubo 2 amarillas mostradas al equipo local|Hubo 01 rojas a jugadores visitantes|Hubo 5 tarjetas amarillas para el equipo visitantes"
17|"Racing Santander|Almeria|2|2019|2019-08-24 18:00:00|1|1|Oliver De La Fuente|Campos de Sport de El Sardinero|2.1|3.0|3.5|Hubo 00 rojas a jugadores visitantes|Hubo 02  tarjetas amarillas de jugadores visitantes|Hubo 2 amarillas para jugadores del equipo local|Hubo 0 rojas a jugadores del equipo local"
18|"Mirandes|Cadiz|2|2019|2019-08-24 19:00:00|1|2|Iosu Galech|Estadio Municipal de Anduva|2.7|3.1|2.7|Hubo 00 rojas a jugadores visitantes|Hubo 04 amarillas mostradas al equipo local|Hubo 01 rojas a jugadores del equipo local|Hubo 01  tarjetas amarillas de jugadores visitantes"
19|"Real Madrid|Valladolid|1|2019|2019-08-24 19:00:00|1|1|Pablo González|Estadio Santiago Bernabéu|1.2|6.5|13.0|Hubo 00 tarjetas rojas sobre el equipo local|Hubo 0 tajetas rojas al equipo visitante|Hubo 2 amarillas para jugadores del equipo local|Hubo 2 tarjetas amarillas para el equipo visitantes"
20|"Malaga|Las Palmas|2|2019|2019-08-24 21:00:00|1|1|Gorka Sagues|Estadio La Rosaleda|1.8|3.3|4.2|Hubo 04 tarjetas amarillas para el equipo visitantes|Hubo 0 tarjetas rojas sobre el equipo local|Hubo 0 tajetas rojas al equipo visitante|Hubo 01 amarillas para jugadores del equipo local"
21|"Celta Vigo|Valencia|1|2019|2019-08-24 21:00:00|1|0|Alejandro Hernández|Abanca-Balaídos|3.1|3.4|2.25|Hubo 0 rojas a jugadores visitantes|Hubo 0 rojas a jugadores del equipo local|Hubo 01 amarillas para jugadores del equipo local|Hubo 02 tarjetas amarillas para el equipo visitantes"
22|"Getafe|Athletic Club|1|2019|2019-08-24 21:00:00|1|1|Antonio Mateu|Coliseum Alfonso Pérez|2.6|3.0|2.9|Hubo 0 rojas a jugadores del equipo local|Hubo 01 tarjetas amarillas para el equipo visitantes|Hubo 2 amarillas para jugadores del equipo local|Hubo 00 tajetas rojas al equipo visitante"
23|"Alaves|Espanyol|1|2019|2019-08-25 17:00:00|0|0|Eduardo Prieto|Estadio de Mendizorroza|2.45|3.2|3.0|Hubo 01  tarjetas amarillas de jugadores visitantes|Hubo 0 tarjetas rojas sobre el equipo local|Hubo 03 amarillas mostradas al equipo local|Hubo 0 rojas a jugadores visitantes"
24|"Mallorca|Real Sociedad|1|2019|2019-08-25 17:00:00|0|1|Valentín Pizarro|Iberostar Estadi|3.1|3.1|2.4|Hubo 01 amarillas mostradas al equipo local|Hubo 00 tajetas rojas al equipo visitante|Hubo 02 tarjetas amarillas para el equipo visitantes|Hubo 0 rojas a jugadores del equipo local"
25|"Ponferradina|Zaragoza|2|2019|2019-08-25 18:00:00|1|1|Javier Iglesias|Estadio El Toralín|2.6|3.0|2.7|Hubo 00 rojas a jugadores del equipo local|Hubo 02 amarillas mostradas al equipo local|Hubo 01 tarjetas amarillas para el equipo visitantes|Hubo 00 rojas a jugadores visitantes"
26|"Sporting Gijon|Rayo Vallecano|2|2019|2019-08-25 18:00:00|1|1|Iñaki Bikandi|Estadio Municipal El Molinón|2.0|3.0|3.75|Hubo 1 tarjetas rojas sobre el equipo local|Hubo 1 rojas a jugadores visitantes|Hubo 05 amarillas mostradas al equipo local|Hubo 5  tarjetas amarillas de jugadores visitantes"
27|"Huesca|Deportivo La Coruna|2|2019|2019-08-25 19:00:00|3|1|Isidro Díaz de Mera|Estadio El Alcoraz|2.37|3.0|2.9|Hubo 00 rojas a jugadores visitantes|Hubo 0 tarjetas rojas sobre el equipo local|Hubo 2 tarjetas amarillas para el equipo visitantes|Hubo 01 amarillas para jugadores del equipo local"
28|"Tenerife|Numancia|2|2019|2019-08-25 20:00:00|3|2|Miguel Ortiz|Estadio Heliodoro Rodríguez Lopéz|1.75|3.4|4.33|Hubo 0 rojas a jugadores visitantes|Hubo 0 rojas a jugadores del equipo local|Hubo 0  tarjetas amarillas de jugadores visitantes|Hubo 03 amarillas mostradas al equipo local"
29|"Barcelona|Real Betis|1|2019|2019-08-25 21:00:00|5|2|José González|Camp Nou|1.25|6.0|10.0|Hubo 1 amarillas para jugadores del equipo local|Hubo 0 tajetas rojas al equipo visitante|Hubo 01 tarjetas amarillas para el equipo visitantes|Hubo 00 tarjetas rojas sobre el equipo local"
30|"Osasuna|Barcelona|1|2019|2019-08-31 17:00:00|2|2|Juan Martínez|Estadio El Sadar|10.0|5.0|1.33|Hubo 03 amarillas mostradas al equipo local|Hubo 00 tajetas rojas al equipo visitante|Hubo 0 tarjetas rojas sobre el equipo local|Hubo 04  tarjetas amarillas de jugadores visitantes"
31|"Levante|Valladolid|1|2019|2019-08-31 19:00:00|2|0|Adrián Cordero|Estadio Ciudad de Valencia|2.0|3.5|3.75|Hubo 2  tarjetas amarillas de jugadores visitantes|Hubo 00 rojas a jugadores del equipo local|Hubo 2 amarillas para jugadores del equipo local|Hubo 0 rojas a jugadores visitantes"
32|"Getafe|Alaves|1|2019|2019-08-31 19:00:00|1|1|Mario Melero|Coliseum Alfonso Pérez|1.72|3.4|5.75|Hubo 01 tarjetas amarillas para el equipo visitantes|Hubo 00 rojas a jugadores del equipo local|Hubo 3 amarillas para jugadores del equipo local|Hubo 0 tajetas rojas al equipo visitante"
33|"Almeria|Huesca|2|2019|2019-08-31 20:00:00|1|0|Dámaso Arcediano|Estadio de los Juegos Mediterráneos|2.3|3.2|3.1|Hubo 00 tarjetas rojas sobre el equipo local|Hubo 02 amarillas mostradas al equipo local|Hubo 02 tarjetas amarillas para el equipo visitantes|Hubo 0 tajetas rojas al equipo visitante"
34|"Real Betis|Leganes|1|2019|2019-08-31 21:00:00|2|1|Guillermo Cuadra|Estadio Benito Villamarín|1.95|3.3|4.33|Hubo 00 tarjetas rojas sobre el equipo local|Hubo 02 tarjetas amarillas para el equipo visitantes|Hubo 00 rojas a jugadores visitantes|Hubo 04 amarillas mostradas al equipo local"
35|"Las Palmas|Racing Santander|2|2019|2019-08-31 21:00:00|2|2|Álvaro Moreno|Estadio de Gran Canaria|2.3|3.0|3.4|Hubo 03  tarjetas amarillas de jugadores visitantes|Hubo 5 amarillas para jugadores del equipo local|Hubo 00 rojas a jugadores visitantes|Hubo 1 rojas a jugadores del equipo local"
36|"Valencia|Mallorca|1|2019|2019-09-01 17:00:00|2|0|Javier Alberola|Estadio de Mestalla|1.4|4.75|8.0|Hubo 00 tajetas rojas al equipo visitante|Hubo 1  tarjetas amarillas de jugadores visitantes|Hubo 00 rojas a jugadores del equipo local|Hubo 00 amarillas mostradas al equipo local"
37|"Rayo Vallecano|Deportivo La Coruna|2|2019|2019-09-01 18:00:00|3|1|Daniel Trujillo|Estadio de Vallecas|2.15|3.0|3.75|Hubo 0 tajetas rojas al equipo visitante|Hubo 1  tarjetas amarillas de jugadores visitantes|Hubo 1 amarillas mostradas al equipo local|Hubo 0 rojas a jugadores del equipo local"
38|"Sporting Gijon|Albacete|2|2019|2019-09-01 18:00:00|2|0|Daniel Ocón|Estadio Municipal El Molinón|1.9|3.25|4.33|Hubo 2 amarillas mostradas al equipo local|Hubo 00 rojas a jugadores visitantes|Hubo 3  tarjetas amarillas de jugadores visitantes|Hubo 00 tarjetas rojas sobre el equipo local"
39|"Atletico Madrid|Eibar|1|2019|2019-09-01 19:00:00|3|2|Santiago Jaime|Estadio Wanda Metropolitano|1.4|4.0|10.0|Hubo 00 rojas a jugadores del equipo local|Hubo 00 tajetas rojas al equipo visitante|Hubo 3 tarjetas amarillas para el equipo visitantes|Hubo 0 amarillas para jugadores del equipo local"
40|"Girona|Malaga|2|2019|2019-09-01 19:00:00|1|0|Juan Pulido|Estadi Municipal de Montilivi|1.85|3.1|5.0|Hubo 3  tarjetas amarillas de jugadores visitantes|Hubo 0 tajetas rojas al equipo visitante|Hubo 03 amarillas mostradas al equipo local|Hubo 00 rojas a jugadores del equipo local"
41|"Espanyol|Granada CF|1|2019|2019-09-01 19:00:00|0|3|César Soto|RCDE Stadium|2.05|3.3|4.0|Hubo 3  tarjetas amarillas de jugadores visitantes|Hubo 0 rojas a jugadores visitantes|Hubo 02 amarillas para jugadores del equipo local|Hubo 0 tarjetas rojas sobre el equipo local"
42|"Ponferradina|Tenerife|2|2019|2019-09-01 20:00:00|4|0|Saúl Ais|Estadio El Toralín|2.45|3.6|2.62|Hubo 03  tarjetas amarillas de jugadores visitantes|Hubo 00 tajetas rojas al equipo visitante|Hubo 00 rojas a jugadores del equipo local|Hubo 2 amarillas mostradas al equipo local"
43|"Cadiz|Extremadura|2|2019|2019-09-01 21:00:00|2|1|Aitor Gorostegui|Estadio Ramón de Carranza|1.61|3.4|6.5|Hubo 2 tarjetas amarillas para el equipo visitantes|Hubo 00 tarjetas rojas sobre el equipo local|Hubo 3 amarillas mostradas al equipo local|Hubo 00 tajetas rojas al equipo visitante"
44|"Villarreal|Real Madrid|1|2019|2019-09-01 21:00:00|2|2|Jesús Gil|Estadio de la Cerámica|3.6|4.0|1.9|Hubo 4  tarjetas amarillas de jugadores visitantes|Hubo 01 tajetas rojas al equipo visitante|Hubo 00 rojas a jugadores del equipo local|Hubo 01 amarillas para jugadores del equipo local"
45|"Deportivo La Coruna|Albacete|2|2019|2019-09-07 16:00:00|0|1|Luis Milla|Estadio Abanca-Riazor|1.66|3.4|6.0|Hubo 1 tajetas rojas al equipo visitante|Hubo 1 amarillas mostradas al equipo local|Hubo 05 tarjetas amarillas para el equipo visitantes|Hubo 0 tarjetas rojas sobre el equipo local"
46|"Malaga|Almeria|2|2019|2019-09-07 18:00:00|0|1|Rubén Ávalos|Estadio La Rosaleda|2.4|3.0|3.2|Hubo 4 amarillas mostradas al equipo local|Hubo 0 tarjetas rojas sobre el equipo local|Hubo 0 tajetas rojas al equipo visitante|Hubo 04  tarjetas amarillas de jugadores visitantes"
47|"Extremadura|Numancia|2|2019|2019-09-07 20:00:00|0|0|Iñaki Bikandi|Estadio Francisco de la Hera|2.15|2.87|4.0|Hubo 04  tarjetas amarillas de jugadores visitantes|Hubo 2 tajetas rojas al equipo visitante|Hubo 0 tarjetas rojas sobre el equipo local|Hubo 1 amarillas mostradas al equipo local"
48|"Fuenlabrada|Ponferradina|2|2019|2019-09-07 20:00:00|1|1|Iosu Galech|Estadio Fernando Torres|2.05|3.1|4.0|Hubo 0 rojas a jugadores visitantes|Hubo 00 rojas a jugadores del equipo local|Hubo 2 amarillas para jugadores del equipo local|Hubo 2 tarjetas amarillas para el equipo visitantes"
49|"Tenerife|Las Palmas|2|2019|2019-09-07 21:00:00|0|0|Isidro Díaz de Mera|Estadio Heliodoro Rodríguez Lopéz|2.05|3.1|4.0|Hubo 05  tarjetas amarillas de jugadores visitantes|Hubo 0 rojas a jugadores visitantes|Hubo 2 amarillas para jugadores del equipo local|Hubo 01 tarjetas rojas sobre el equipo local"
50|"Huesca|Sporting Gijon|2|2019|2019-09-08 12:00:00|1|0|José López|Estadio El Alcoraz|2.0|3.1|4.2|Hubo 3 tarjetas amarillas para el equipo visitantes|Hubo 00 rojas a jugadores del equipo local|Hubo 1 rojas a jugadores visitantes|Hubo 3 amarillas mostradas al equipo local"
51|"Girona|Rayo Vallecano|2|2019|2019-09-08 16:00:00|3|1|Gorka Sagues|Estadi Municipal de Montilivi|2.15|3.0|3.75|Hubo 0 rojas a jugadores visitantes|Hubo 01 amarillas mostradas al equipo local|Hubo 04  tarjetas amarillas de jugadores visitantes|Hubo 0 tarjetas rojas sobre el equipo local"
52|"Mirandes|Oviedo|2|2019|2019-09-08 18:00:00|2|1|Miguel Ortiz|Estadio Municipal de Anduva|2.7|3.1|2.7|Hubo 00 tarjetas rojas sobre el equipo local|Hubo 01  tarjetas amarillas de jugadores visitantes|Hubo 01 amarillas mostradas al equipo local|Hubo 1 rojas a jugadores visitantes"
53|"Elche|Lugo|2|2019|2019-09-08 18:00:00|1|1|Santiago Varón|Estadio Manuel Martínez Valero|2.1|3.1|3.8|Hubo 03 amarillas mostradas al equipo local|Hubo 00 tarjetas rojas sobre el equipo local|Hubo 00 tajetas rojas al equipo visitante|Hubo 3 tarjetas amarillas para el equipo visitantes"
54|"Alcorcon|Zaragoza|2|2019|2019-09-08 18:30:00|0|3|Oliver De La Fuente|Estadio Santo Domingo|2.5|2.9|3.1|Hubo 1 amarillas para jugadores del equipo local|Hubo 00 rojas a jugadores visitantes|Hubo 02 tarjetas amarillas para el equipo visitantes|Hubo 00 rojas a jugadores del equipo local"
55|"Real Madrid|Levante|1|2019|2019-09-14 13:00:00|3|2|Ricardo De Burgos|Estadio Santiago Bernabéu|1.22|6.5|12.0|Hubo 00 tajetas rojas al equipo visitante|Hubo 02  tarjetas amarillas de jugadores visitantes|Hubo 0 tarjetas rojas sobre el equipo local|Hubo 02 amarillas mostradas al equipo local"
56|"Leganes|Villarreal|1|2019|2019-09-14 16:00:00|0|3|David Medié|Estadio Municipal de Butarque|2.45|3.1|3.2|Hubo 00 rojas a jugadores visitantes|Hubo 0 rojas a jugadores del equipo local|Hubo 0 tarjetas amarillas para el equipo visitantes|Hubo 2 amarillas para jugadores del equipo local"
57|"Las Palmas|Almeria|2|2019|2019-09-14 18:30:00|0|3|Aitor Gorostegui|Estadio de Gran Canaria|2.45|2.87|3.25|Hubo 3 amarillas para jugadores del equipo local|Hubo 4  tarjetas amarillas de jugadores visitantes|Hubo 0 tajetas rojas al equipo visitante|Hubo 0 tarjetas rojas sobre el equipo local"
58|"Real Sociedad|Atletico Madrid|1|2019|2019-09-14 18:30:00|2|0|Antonio Mateu|Reale Arena|3.8|3.2|2.1|Hubo 03 tarjetas amarillas para el equipo visitantes|Hubo 01 amarillas mostradas al equipo local|Hubo 00 tajetas rojas al equipo visitante|Hubo 00 tarjetas rojas sobre el equipo local"
59|"Cadiz|Girona|2|2019|2019-09-14 20:30:00|2|0|Daniel Ocón|Estadio Ramón de Carranza|2.15|3.1|3.6|Hubo 03 amarillas para jugadores del equipo local|Hubo 01 rojas a jugadores visitantes|Hubo 02 tarjetas amarillas para el equipo visitantes|Hubo 00 rojas a jugadores del equipo local"
60|"Barcelona|Valencia|1|2019|2019-09-14 21:00:00|5|2|José Sánchez|Camp Nou|1.44|4.75|7.0|Hubo 1 amarillas mostradas al equipo local|Hubo 00 tarjetas rojas sobre el equipo local|Hubo 0 tajetas rojas al equipo visitante|Hubo 4  tarjetas amarillas de jugadores visitantes"
61|"Albacete|Tenerife|2|2019|2019-09-15 12:00:00|0|4|Álvaro Moreno|Estadio Carlos Belmonte|2.3|3.0|3.4|Hubo 06 amarillas mostradas al equipo local|Hubo 0 tarjetas rojas sobre el equipo local|Hubo 00 tajetas rojas al equipo visitante|Hubo 3  tarjetas amarillas de jugadores visitantes"
62|"Eibar|Espanyol|1|2019|2019-09-15 12:00:00|1|2|Valentín Pizarro|Estadio Municipal de Ipurúa|2.0|3.3|4.0|Hubo 1 tajetas rojas al equipo visitante|Hubo 2 amarillas mostradas al equipo local|Hubo 00 rojas a jugadores del equipo local|Hubo 4  tarjetas amarillas de jugadores visitantes"
63|"Alaves|Sevilla|1|2019|2019-09-15 14:00:00|0|1|Alejandro Hernández|Estadio de Mendizorroza|4.2|3.2|2.0|Hubo 5 amarillas mostradas al equipo local|Hubo 5  tarjetas amarillas de jugadores visitantes|Hubo 00 rojas a jugadores del equipo local|Hubo 0 tajetas rojas al equipo visitante"
64|"Oviedo|Elche|2|2019|2019-09-15 16:00:00|0|2|Jorge Figueroa|Estadio Nuevo Carlos Tartiere|1.9|3.1|4.5|Hubo 2 tarjetas amarillas para el equipo visitantes|Hubo 02 amarillas para jugadores del equipo local|Hubo 2 tarjetas rojas sobre el equipo local|Hubo 0 rojas a jugadores visitantes"
65|"Celta Vigo|Granada CF|1|2019|2019-09-15 16:00:00|0|2|Eduardo Prieto|Abanca-Balaídos|1.83|3.6|4.33|Hubo 02 tarjetas rojas sobre el equipo local|Hubo 00 rojas a jugadores visitantes|Hubo 04 amarillas para jugadores del equipo local|Hubo 2 tarjetas amarillas para el equipo visitantes"
66|"Zaragoza|Extremadura|2|2019|2019-09-15 18:00:00|3|1|Jon González|Estadio de la Romareda|1.61|3.4|6.5|Hubo 00 tarjetas rojas sobre el equipo local|Hubo 01 amarillas para jugadores del equipo local|Hubo 01 tarjetas amarillas para el equipo visitantes|Hubo 0 tajetas rojas al equipo visitante"
67|"Valladolid|Osasuna|1|2019|2019-09-15 18:30:00|1|1|José Munuera|Estadio Municipal José Zorrilla|2.15|3.1|3.75|Hubo 00 rojas a jugadores del equipo local|Hubo 01  tarjetas amarillas de jugadores visitantes|Hubo 00 tajetas rojas al equipo visitante|Hubo 0 amarillas mostradas al equipo local"
68|"Real Betis|Getafe|1|2019|2019-09-15 21:00:00|1|1|José González|Estadio Benito Villamarín|2.2|3.1|3.6|Hubo 6 tarjetas amarillas para el equipo visitantes|Hubo 03 amarillas mostradas al equipo local|Hubo 00 rojas a jugadores visitantes|Hubo 2 tarjetas rojas sobre el equipo local"
69|"Sporting Gijon|Deportivo La Coruna|2|2019|2019-09-15 21:00:00|1|1|Juan Pulido|Estadio Municipal El Molinón|2.37|2.9|3.3|Hubo 00 tajetas rojas al equipo visitante|Hubo 4 amarillas para jugadores del equipo local|Hubo 0 tarjetas rojas sobre el equipo local|Hubo 04  tarjetas amarillas de jugadores visitantes"
70|"Villarreal|Valladolid|1|2019|2019-09-21 13:00:00|2|0|César Soto|Estadio de la Cerámica|1.61|4.0|5.5|Hubo 00 rojas a jugadores visitantes|Hubo 00 rojas a jugadores del equipo local|Hubo 02 amarillas mostradas al equipo local|Hubo 01  tarjetas amarillas de jugadores visitantes"
71|"Levante|Eibar|1|2019|2019-09-21 16:00:00|0|0|Javier Alberola|Estadio Ciudad de Valencia|2.3|3.4|3.1|Hubo 0 rojas a jugadores visitantes|Hubo 0 tarjetas rojas sobre el equipo local|Hubo 00 amarillas mostradas al equipo local|Hubo 2  tarjetas amarillas de jugadores visitantes"
72|"Cadiz|Deportivo La Coruna|2|2019|2019-09-21 16:00:00|0|0|Dámaso Arcediano|Estadio Ramón de Carranza|2.45|3.1|3.0|Hubo 02 tarjetas amarillas para el equipo visitantes|Hubo 02 amarillas para jugadores del equipo local|Hubo 0 rojas a jugadores del equipo local|Hubo 0 rojas a jugadores visitantes"
73|"Zaragoza|Lugo|2|2019|2019-09-21 18:00:00|0|0|Víctor Areces|Estadio de la Romareda|1.4|4.2|9.0|Hubo 04 tarjetas amarillas para el equipo visitantes|Hubo 00 tajetas rojas al equipo visitante|Hubo 00 tarjetas rojas sobre el equipo local|Hubo 01 amarillas para jugadores del equipo local"
74|"Atletico Madrid|Celta Vigo|1|2019|2019-09-21 18:30:00|0|0|Mario Melero|Estadio Wanda Metropolitano|1.4|4.33|9.5|Hubo 00 tajetas rojas al equipo visitante|Hubo 00 rojas a jugadores del equipo local|Hubo 5  tarjetas amarillas de jugadores visitantes|Hubo 03 amarillas mostradas al equipo local"
75|"Rayo Vallecano|Almeria|2|2019|2019-09-21 20:00:00|1|1|Daniel Ocón|Estadio de Vallecas|2.25|3.1|3.4|Hubo 00 tarjetas rojas sobre el equipo local|Hubo 01  tarjetas amarillas de jugadores visitantes|Hubo 1 amarillas para jugadores del equipo local|Hubo 0 rojas a jugadores visitantes"
76|"Granada CF|Barcelona|1|2019|2019-09-21 21:00:00|2|0|Guillermo Cuadra|Estadio Nuevo Los Cármenes|10.0|5.5|1.3|Hubo 02 tarjetas amarillas para el equipo visitantes|Hubo 0 tarjetas rojas sobre el equipo local|Hubo 0 tajetas rojas al equipo visitante|Hubo 3 amarillas para jugadores del equipo local"
77|"Getafe|Mallorca|1|2019|2019-09-22 12:00:00|4|2|Santiago Jaime|Coliseum Alfonso Pérez|1.85|3.25|5.0|Hubo 5 tarjetas amarillas para el equipo visitantes|Hubo 00 rojas a jugadores del equipo local|Hubo 4 amarillas para jugadores del equipo local|Hubo 0 rojas a jugadores visitantes"
78|"Ponferradina|Oviedo|2|2019|2019-09-22 12:00:00|2|1|Rubén Ávalos|Estadio El Toralín|2.7|3.0|2.8|Hubo 02 amarillas para jugadores del equipo local|Hubo 0 rojas a jugadores visitantes|Hubo 3 tarjetas amarillas para el equipo visitantes|Hubo 00 tarjetas rojas sobre el equipo local"
79|"Valladolid|Granada CF|1|2019|2019-09-24 19:00:00|1|1|Valentín Pizarro|Estadio Municipal José Zorrilla|2.25|3.3|3.3|Hubo 02  tarjetas amarillas de jugadores visitantes|Hubo 03 amarillas mostradas al equipo local|Hubo 0 rojas a jugadores del equipo local|Hubo 0 tajetas rojas al equipo visitante"
80|"Real Betis|Levante|1|2019|2019-09-24 20:00:00|3|1|Eduardo Prieto|Estadio Benito Villamarín|1.95|3.6|3.8|Hubo 02 tarjetas amarillas para el equipo visitantes|Hubo 0 tarjetas rojas sobre el equipo local|Hubo 2 amarillas para jugadores del equipo local|Hubo 0 rojas a jugadores visitantes"
81|"Barcelona|Villarreal|1|2019|2019-09-24 21:00:00|2|1|Ricardo De Burgos|Camp Nou|1.3|5.75|9.0|Hubo 04 amarillas mostradas al equipo local|Hubo 0 rojas a jugadores del equipo local|Hubo 0 tajetas rojas al equipo visitante|Hubo 2  tarjetas amarillas de jugadores visitantes"
82|"Mallorca|Atletico Madrid|1|2019|2019-09-25 19:00:00|0|2|Alejandro Hernández|Iberostar Estadi|6.5|3.6|1.61|Hubo 05  tarjetas amarillas de jugadores visitantes|Hubo 00 rojas a jugadores del equipo local|Hubo 1 rojas a jugadores visitantes|Hubo 3 amarillas mostradas al equipo local"
83|"Leganes|Athletic Club|1|2019|2019-09-25 19:00:00|1|1|José González|Estadio Municipal de Butarque|2.87|3.0|2.7|Hubo 00 amarillas mostradas al equipo local|Hubo 01 tarjetas amarillas para el equipo visitantes|Hubo 00 rojas a jugadores visitantes|Hubo 00 rojas a jugadores del equipo local"
